sep=;
Name;Exp.;Bid;Ask;Last;High;Low;Open Interest;Volume;Contract Size;Strike
VOLVB5K28Y275;2025-11-28;2.30;3.00;;;;;;100;275.00
VOLVB5K28Y280;2025-11-28;0.90;1.60;;;;;;100;280.00
VOLVB5K28Y285;2025-11-28;0.20;0.80;;;;;;100;285.00
VOLVB5K28Y290;2025-11-28;;0.70;;;;;;100;290.00
VOLVB5K28Y295;2025-11-28;;0.55;;;;;;100;295.00
VOLVB5K28Y300;2025-11-28;;0.80;;;;;;100;300.00
VOLVB5K28Y305;2025-11-28;;0.80;;;;;;100;305.00
VOLVB5K28Y310;2025-11-28;;0.80;;;;;;100;310.00
VOLVB5K28Y315;2025-11-28;;0.80;;;;;;100;315.00
VOLVB5K28Y320;2025-11-28;;0.80;;;;;;100;320.00
VOLVB5L05Y234;2025-12-05;35.25;37.25;;;;;;100;234.00
VOLVB5L05Y236;2025-12-05;33.25;35.25;;;;;;100;236.00
VOLVB5L05Y238;2025-12-05;31.25;33.25;;;;;;100;238.00
VOLVB5L05Y240;2025-12-05;29.25;31.25;;;;;;100;240.00
VOLVB5L05Y242;2025-12-05;27.50;29.50;;;;;;100;242.00
VOLVB5L05Y244;2025-12-05;25.50;27.50;;;;;;100;244.00
VOLVB5L05Y246;2025-12-05;23.50;25.50;;;;;;100;246.00
VOLVB5L05Y248;2025-12-05;21.75;23.75;;;;;;100;248.00
VOLVB5L05Y250;2025-12-05;20.00;21.75;;;;;;100;250.00
VOLVB5L05Y255;2025-12-05;15.50;17.00;;;;;;100;255.00
VOLVB5L05Y260;2025-12-05;11.50;13.25;5.50;;;33;;100;260.00
VOLVB5L05Y265;2025-12-05;8.20;9.40;;;;;;100;265.00
VOLVB5L05Y270;2025-12-05;5.50;6.30;;;;;;100;270.00
VOLVB5L05Y275;2025-12-05;3.30;4.05;;;;;;100;275.00
VOLVB5L05Y280;2025-12-05;1.70;2.45;;;;;;100;280.00
VOLVB5L05Y285;2025-12-05;0.70;1.45;;;;;;100;285.00
VOLVB5L05Y290;2025-12-05;0.15;0.80;;;;;;100;290.00
VOLVB5L05Y295;2025-12-05;;0.75;;;;;;100;295.00
VOLVB5L05Y300;2025-12-05;;0.60;;;;;;100;300.00
VOLVB5L05Y305;2025-12-05;;0.80;;;;;;100;305.00
VOLVB5L05Y310;2025-12-05;;0.80;;;;;;100;310.00
VOLVB5L05Y315;2025-12-05;;0.80;;;;;;100;315.00
VOLVB5L05Y320;2025-12-05;;0.80;;;;;;100;320.00
VOLVB5L53.95Y;2025-12-19;215.00;216.75;;;;;;107;53.95
VOLVB5L57.68Y;2025-12-19;211.50;213.25;;;;;;107;57.68
VOLVB5L61.39Y;2025-12-19;207.75;209.50;;;;;;107;61.39
VOLVB5L65.12Y;2025-12-19;204.00;205.75;;;;;;107;65.12
VOLVB5L74.42Y;2025-12-19;194.75;196.50;;;;;;107;74.42
VOLVB5L83.72Y;2025-12-19;185.50;187.25;;;;;;107;83.72
VOLVB5L93.03Y;2025-12-19;176.00;177.75;;;;;;107;93.03
VOLVB5L107.90Z;2025-12-19;161.25;163.00;;;;;;111;107.90
VOLVB5L116.90Z;2025-12-19;152.25;154.00;;;;;;111;116.90
VOLVB5L125.88Z;2025-12-19;143.25;145.00;;;;;;111;125.88
VOLVB5L134.88Z;2025-12-19;134.25;136.00;;;;;;111;134.88
VOLVB5L152.85Z;2025-12-19;116.50;118.25;;;;;;111;152.85
VOLVB5L160;2025-12-19;109.25;111.00;101.25;;;10;;100;160.00
VOLVB5L170.84Z;2025-12-19;98.50;100.25;85.50;;;10;;111;170.84
VOLVB5L182.92Y;2025-12-19;86.50;88.25;;;;;;104;182.92
VOLVB5L188.82Z;2025-12-19;80.50;82.25;;;;;;111;188.82
VOLVB5L195;2025-12-19;74.25;76.00;;;;;;100;195.00
VOLVB5L200;2025-12-19;69.50;71.25;;;;;;100;200.00
VOLVB5L206.81Z;2025-12-19;62.50;64.25;;;;;;111;206.81
VOLVB5L211.80X;2025-12-19;57.75;59.50;;;;;;104;211.80
VOLVB5L215;2025-12-19;54.50;56.25;;;;;;100;215.00
VOLVB5L220X;2025-12-19;49.50;51.25;;;;;;100;220.00
VOLVB5L224.80Z;2025-12-19;44.75;46.50;;;;40;;111;224.80
VOLVB5L231.06X;2025-12-19;38.75;40.50;;;;;;104;231.06
VOLVB5L234;2025-12-19;36.00;37.50;;;;;;100;234.00
VOLVB5L235;2025-12-19;35.00;36.75;26.25;;;3;;100;235.00
VOLVB5L236;2025-12-19;34.00;35.75;;;;;;100;236.00
VOLVB5L238;2025-12-19;32.00;33.75;;;;;;100;238.00
VOLVB5L240X;2025-12-19;30.25;32.00;;;;;;100;240.00
VOLVB5L242.77Z;2025-12-19;27.75;29.25;;;;50;;111;242.77
VOLVB5L244;2025-12-19;26.50;28.00;;;;;;100;244.00
VOLVB5L246;2025-12-19;24.75;26.25;;;;;;100;246.00
VOLVB5L248;2025-12-19;23.00;24.25;;;;;;100;248.00
VOLVB5L250.31X;2025-12-19;21.00;22.50;10.25;;;50;;104;250.31
VOLVB5L255;2025-12-19;17.25;18.25;13.50;;;243;;100;255.00
VOLVB5L260.76Z;2025-12-19;12.75;14.25;11.00;;;441;;111;260.76
VOLVB5L265;2025-12-19;10.00;11.25;8.80;;;450;;100;265.00
VOLVB5L269.57X;2025-12-19;7.70;8.30;5.80;;;"1,343";;104;269.57
VOLVB5L275;2025-12-19;5.20;5.70;4.80;4.80;4.80;"6,923";200;100;275.00
VOLVB5L278.74Z;2025-12-19;3.65;4.25;2.40;;;"2,445";;111;278.74
VOLVB5L285;2025-12-19;1.95;2.50;1.49;;;"6,858";;100;285.00
VOLVB5L288.82X;2025-12-19;1.20;1.80;1.00;;;"2,217";;104;288.82
VOLVB5L295;2025-12-19;0.50;1.00;0.50;;;80;;100;295.00
VOLVB5L300X;2025-12-19;0.10;0.80;0.45;;;"6,293";;100;300.00
VOLVB5L305;2025-12-19;0.01;0.70;3.00;;;10;;100;305.00
VOLVB5L308.08X;2025-12-19;0.01;0.65;0.20;;;"4,183";;104;308.08
VOLVB5L315;2025-12-19;0.01;0.55;0.80;;;50;;100;315.00
VOLVB5L320X;2025-12-19;;0.50;1.00;;;641;;100;320.00
VOLVB5L325.59Y;2025-12-19;;0.45;0.60;;;"2,419";;107;325.59
VOLVB5L340;2025-12-19;;0.45;0.35;;;85;;100;340.00
VOLVB5L346.58X;2025-12-19;;0.45;3.30;;;925;;104;346.58
VOLVB5L362.80Y;2025-12-19;;0.45;0.30;;;142;;107;362.80
VOLVB5L370;2025-12-19;;0.80;;;;;;100;370.00
VOLVB5L380;2025-12-19;;0.80;;;;;;100;380.00
VOLVB5L385.09X;2025-12-19;;0.80;;;;;;104;385.09
VOLVB5L400.01Y;2025-12-19;;0.80;;;;;;107;400.01
VOLVB5L423.60X;2025-12-19;;0.45;0.25;;;45;;104;423.60
VOLVB5L437.22Y;2025-12-19;;0.80;;;;;;107;437.22
VOLVB5L462.11X;2025-12-19;;0.80;;;;;;104;462.11
VOLVB5L474.43Y;2025-12-19;;0.80;;;;;;107;474.43
VOLVB6A205;2026-01-16;64.75;66.50;;;;;;100;205.00
VOLVB6A210;2026-01-16;59.75;61.50;;;;;;100;210.00
VOLVB6A215;2026-01-16;55.00;56.75;;;;;;100;215.00
VOLVB6A220;2026-01-16;50.00;51.75;;;;;;100;220.00
VOLVB6A225;2026-01-16;45.25;47.00;;;;;;100;225.00
VOLVB6A230;2026-01-16;40.50;42.25;;;;;;100;230.00
VOLVB6A235;2026-01-16;35.75;37.50;;;;;;100;235.00
VOLVB6A240;2026-01-16;31.25;32.75;;;;;;100;240.00
VOLVB6A245;2026-01-16;27.00;28.25;17.10;;;80;;100;245.00
VOLVB6A250;2026-01-16;22.75;24.25;16.00;;;87;;100;250.00
VOLVB6A255;2026-01-16;19.00;20.25;16.75;;;130;;100;255.00
VOLVB6A260;2026-01-16;15.25;16.50;8.70;;;586;;100;260.00
VOLVB6A265;2026-01-16;12.25;13.50;10.35;;;80;;100;265.00
VOLVB6A270;2026-01-16;9.20;10.50;6.30;;;"2,708";;100;270.00
VOLVB6A275;2026-01-16;7.00;7.80;;;;;;100;275.00
VOLVB6A280;2026-01-16;5.10;5.80;3.50;;;381;;100;280.00
VOLVB6A285;2026-01-16;3.60;4.15;;;;;;100;285.00
VOLVB6A290;2026-01-16;2.35;2.95;1.20;;;"2,355";;100;290.00
VOLVB6A295;2026-01-16;1.45;2.05;;;;;;100;295.00
VOLVB6A300;2026-01-16;0.85;1.45;2.95;;;90;;100;300.00
VOLVB6A305;2026-01-16;0.45;1.00;;;;;;100;305.00
VOLVB6A310;2026-01-16;0.15;0.70;1.65;;;71;;100;310.00
VOLVB6A315;2026-01-16;0.01;0.65;;;;;;100;315.00
VOLVB6A320;2026-01-16;0.01;0.60;;;;;;100;320.00
VOLVB6A330;2026-01-16;0.01;0.60;;;;;;100;330.00
VOLVB6A340;2026-01-16;;0.60;;;;;;100;340.00
VOLVB6A350;2026-01-16;;0.60;;;;;;100;350.00
VOLVB6C160;2026-03-20;109.00;112.75;;;;;;100;160.00
VOLVB6C170;2026-03-20;99.00;103.00;;;;;;100;170.00
VOLVB6C180;2026-03-20;89.25;93.25;;;;;;100;180.00
VOLVB6C185;2026-03-20;84.50;88.25;;;;;;100;185.00
VOLVB6C190;2026-03-20;79.50;83.50;;;;;;100;190.00
VOLVB6C192.55X;2026-03-20;77.00;81.00;;;;;;104;192.55
VOLVB6C202.17X;2026-03-20;68.00;71.75;;;;;;104;202.17
VOLVB6C211.80X;2026-03-20;59.00;62.75;;;;;;104;211.80
VOLVB6C221.43X;2026-03-20;50.50;53.75;;;;;;104;221.43
VOLVB6C231.06X;2026-03-20;42.25;45.25;30.50;;;170;;104;231.06
VOLVB6C240X;2026-03-20;35.25;38.25;41.50;;;39;;100;240.00
VOLVB6C250.31X;2026-03-20;27.25;30.25;32.00;;;68;;104;250.31
VOLVB6C260X;2026-03-20;20.75;23.75;14.75;;;20;;100;260.00
VOLVB6C269.57X;2026-03-20;15.25;18.25;9.60;;;459;;104;269.57
VOLVB6C280X;2026-03-20;11.50;12.25;11.75;11.75;11.75;"2,343";30;100;280.00
VOLVB6C288.82X;2026-03-20;8.20;8.90;7.30;;;166;;104;288.82
VOLVB6C300X;2026-03-20;4.60;5.80;4.25;;;"2,114";;100;300.00
VOLVB6C308.08X;2026-03-20;3.05;3.60;5.20;;;"1,810";;104;308.08
VOLVB6C320X;2026-03-20;1.35;2.45;4.90;;;430;;100;320.00
VOLVB6C327.33X;2026-03-20;0.70;1.75;8.10;;;397;;104;327.33
VOLVB6C340X;2026-03-20;0.04;1.30;;;;;;100;340.00
VOLVB6C346.58X;2026-03-20;0.01;1.15;;;;44;;104;346.58
VOLVB6C360X;2026-03-20;0.01;1.00;;;;;;100;360.00
VOLVB6C365.84X;2026-03-20;0.01;0.95;2.20;;;9;;104;365.84
VOLVB6C385.09X;2026-03-20;;1.00;;;;;;104;385.09
VOLVB6C404.35X;2026-03-20;;1.00;;;;;;104;404.35
VOLVB6C423.60X;2026-03-20;;1.00;;;;;;104;423.60
VOLVB6C442.86X;2026-03-20;;1.00;;;;;;104;442.86
VOLVB6C462.11X;2026-03-20;;1.00;;;;;;104;462.11
VOLVB6F144.41X;2026-06-18;124.75;128.25;;;;;;104;144.41
VOLVB6F163.67X;2026-06-18;105.75;109.50;;;;;;104;163.67
VOLVB6F173.29X;2026-06-18;96.50;100.00;;;;;;104;173.29
VOLVB6F182.92X;2026-06-18;87.25;90.75;;;;;;104;182.92
VOLVB6F192.55X;2026-06-18;78.00;81.75;;;;;;104;192.55
VOLVB6F202.17X;2026-06-18;69.00;72.75;70.00;;;15;;104;202.17
VOLVB6F211.80X;2026-06-18;60.25;63.50;;;;;;104;211.80
VOLVB6F221.43X;2026-06-18;52.00;55.50;;;;;;104;221.43
VOLVB6F231.06X;2026-06-18;44.00;47.50;;;;;;104;231.06
VOLVB6F240.68X;2026-06-18;36.75;39.25;35.00;;;1;;104;240.68
VOLVB6F250.31X;2026-06-18;30.00;32.50;19.00;;;10;;104;250.31
VOLVB6F259.94X;2026-06-18;24.00;26.50;19.25;;;169;;104;259.94
VOLVB6F269.57X;2026-06-18;18.75;21.25;14.25;;;5;;104;269.57
VOLVB6F279.19X;2026-06-18;14.25;17.25;;;;;;104;279.19
VOLVB6F288.82X;2026-06-18;10.50;13.50;11.50;;;20;;104;288.82
VOLVB6F298.45X;2026-06-18;7.70;9.90;7.70;;;45;;104;298.45
VOLVB6F308.08X;2026-06-18;5.80;7.20;5.50;;;"1,120";;104;308.08
VOLVB6F327.33X;2026-06-18;2.75;3.80;4.60;;;"3,608";;104;327.33
VOLVB6F336.96X;2026-06-18;1.75;2.80;;;;;;104;336.96
VOLVB6F346.58X;2026-06-18;1.05;2.20;6.50;;;80;;104;346.58
VOLVB6F365.84X;2026-06-18;0.20;1.45;;;;;;104;365.84
VOLVB6F375.47X;2026-06-18;0.01;1.30;;;;;;104;375.47
VOLVB6F385.09X;2026-06-18;0.01;1.15;;;;;;104;385.09
VOLVB6F404.35X;2026-06-18;0.01;1.05;;;;;;104;404.35
VOLVB6F413.98X;2026-06-18;0.01;1.00;;;;;;104;413.98
VOLVB6F423.60X;2026-06-18;0.01;1.00;;;;;;104;423.60
VOLVB6F442.86X;2026-06-18;;1.00;;;;;;104;442.86
VOLVB6F452.49X;2026-06-18;;1.00;;;;;;104;452.49
VOLVB6I170;2026-09-18;99.75;103.50;;;;;;100;170.00
VOLVB6I180;2026-09-18;90.25;94.00;;;;;;100;180.00
VOLVB6I190;2026-09-18;81.00;84.50;;;;;;100;190.00
VOLVB6I200;2026-09-18;72.00;75.25;;;;;;100;200.00
VOLVB6I210;2026-09-18;63.50;66.50;;;;;;100;210.00
VOLVB6I220;2026-09-18;55.25;58.00;;;;;;100;220.00
VOLVB6I230;2026-09-18;47.50;50.25;;;;;;100;230.00
VOLVB6I240;2026-09-18;40.25;43.00;;;;;;100;240.00
VOLVB6I260;2026-09-18;27.75;30.50;18.25;;;7;;100;260.00
VOLVB6I280;2026-09-18;18.00;20.75;;;;;;100;280.00
VOLVB6I300;2026-09-18;11.00;13.25;;;;;;100;300.00
VOLVB6I320;2026-09-18;6.50;8.10;4.70;;;"1,204";;100;320.00
VOLVB6I340;2026-09-18;3.70;4.65;5.00;;;1;;100;340.00
VOLVB6I360;2026-09-18;1.85;2.85;2.65;;;9;;100;360.00
VOLVB6I380;2026-09-18;0.75;1.85;;;;;;100;380.00
VOLVB6I400;2026-09-18;0.20;1.35;;;;;;100;400.00
VOLVB6I420;2026-09-18;0.01;1.10;;;;;;100;420.00
VOLVB6I440;2026-09-18;0.01;1.00;;;;;;100;440.00
VOLVB6L139.54Y;2026-12-18;;;;;;;;107;139.54
VOLVB6L158.14Y;2026-12-18;;;;;;;;107;158.14
VOLVB6L170X;2026-12-18;;;;;;;;100;170.00
VOLVB6L176.75Y;2026-12-18;;;;;;;;107;176.75
VOLVB6L182.92Y;2026-12-18;;;;;;;;104;182.92
VOLVB6L190Y;2026-12-18;;;;;;;;100;190.00
VOLVB6L195.35Y;2026-12-18;77.50;81.50;67.75;;;2;;107;195.35
VOLVB6L213.96Y;2026-12-18;62.25;65.75;;;;;;107;213.96
VOLVB6L232.56Y;2026-12-18;48.50;52.25;36.00;;;1;;107;232.56
VOLVB6L251.17Y;2026-12-18;36.75;40.75;31.50;;;23;;107;251.17
VOLVB6L269.77Y;2026-12-18;27.00;30.75;26.50;;;74;;107;269.77
VOLVB6L288.38Y;2026-12-18;18.75;22.50;15.00;;;14;;107;288.38
VOLVB6L308.08X;2026-12-18;12.25;15.25;9.50;;;20;;104;308.08
VOLVB6L325.59Y;2026-12-18;8.10;11.25;;;;;;107;325.59
VOLVB6L346.58X;2026-12-18;5.20;7.10;7.30;;;300;;104;346.58
VOLVB6L362.80Y;2026-12-18;3.50;5.00;;;;;;107;362.80
VOLVB6L385.09X;2026-12-18;1.80;3.20;;;;;;104;385.09
VOLVB6L400.01Y;2026-12-18;1.10;2.55;;;;;;107;400.01
VOLVB6L423.60X;2026-12-18;0.40;1.95;;;;;;104;423.60
VOLVB6L437.22Y;2026-12-18;0.15;1.65;;;;;;107;437.22
VOLVB6L474.43Y;2026-12-18;0.01;2.45;;;;;;107;474.43
VOLVB7F170;2027-06-18;;;;;;;;100;170.00
VOLVB7F180;2027-06-18;;;;;;;;100;180.00
VOLVB7F190;2027-06-18;;;;;;;;100;190.00
VOLVB7F200;2027-06-18;;;;;;;;100;200.00
VOLVB7F220;2027-06-18;;;;;;;;100;220.00
VOLVB7F240;2027-06-18;;;;;;;;100;240.00
VOLVB7F260;2027-06-18;;;;;;;;100;260.00
VOLVB7F280;2027-06-18;;;;;;;;100;280.00
VOLVB7F300;2027-06-18;;;;;;;;100;300.00
VOLVB7F320;2027-06-18;;;;;;;;100;320.00
VOLVB7F340;2027-06-18;;;;;;;;100;340.00
VOLVB7F360;2027-06-18;;;;;;;;100;360.00
VOLVB7F380;2027-06-18;;;;;;;;100;380.00
VOLVB7F400;2027-06-18;;;;;;;;100;400.00
VOLVB7F420;2027-06-18;;;;;;;;100;420.00
VOLVB7L160;2027-12-17;;;;;;;;100;160.00
VOLVB7L173.29X;2027-12-17;;;;;;;;104;173.29
VOLVB7L182.92X;2027-12-17;;;;;;;;104;182.92
VOLVB7L192.55X;2027-12-17;;;;;;;;104;192.55
VOLVB7L200X;2027-12-17;;;;;;;;100;200.00
VOLVB7L211.80X;2027-12-17;;;;;;;;104;211.80
VOLVB7L231.06X;2027-12-17;;;;;;;;104;231.06
VOLVB7L250.31X;2027-12-17;;;;;;;;104;250.31
VOLVB7L269.57X;2027-12-17;;;;;;;;104;269.57
VOLVB7L288.82X;2027-12-17;;;;;;;;104;288.82
VOLVB7L308.08X;2027-12-17;;;;;;;;104;308.08
VOLVB7L327.33X;2027-12-17;;;;;;;;104;327.33
VOLVB7L346.58X;2027-12-17;;;;;;;;104;346.58
VOLVB7L365.84X;2027-12-17;;;;;;;;104;365.84
VOLVB7L385.09X;2027-12-17;;;;;;;;104;385.09
VOLVB7L404.35X;2027-12-17;;;;;;;;104;404.35
VOLVB7L423.60X;2027-12-17;;;;;;;;104;423.60
VOLVB7L442.86X;2027-12-17;;;;;;;;104;442.86
